"VCGE-1","VCGE-2"
"Gás natural","Meio ambiente"
"Produção Industrial","Propriedade Industrial,Indústria"
"Safra","Agropecuária"
"Sobreexplotação","Biodiversidade,Meio ambiente"
"Condutas ambientalmente adequadas","Meio ambiente"
"Afro-brasileiro","Cultura"
"Valoração dos serviços ambientais prestados pelas florestas e demais forma de vegetação nativa","Meio ambiente"
"Comunicação","Comunicações"
"Desmatamento na Amazônia","Meio ambiente"
"Governo federal","Administração"
"Tribunais estaduais",""
"Sistema nacional de meio ambiente - SISNAMA","Meio ambiente"
"Divida externa","Economia e Finanças"
"Planejamento florestal","Meio ambiente"
"Sanções criminais","Meio ambiente"
"Segurança de dados e informações","Comunicações"
"Energio nuclear","Energia,Combustíveis"
"Normalização e qualidade","Normalização e Qualidade,Administração"
"Agricultura de precisão","Produção agropecuária,Agropecuária"
"Legislação municipal",""
"Vestibular","Educação,Educação superior"
"Comércio em parques","Serviços Urbanos,Urbanismo"
"Financiamento habitacional","Habitação"
"Colheita","Agropecuária"
"Camada de ozônio","Meio ambiente"
"Investidores interessados na área ambiental","Meio ambiente"
"Maremotriz","Meio ambiente"
"Televisão terrestre","Comunicações"
"Sistema financeiro","Economia e Finanças"
"Parceria",""
"Orçamento de saúde","Saúde"
"Medicamentos genéricos","Medicamentos e aparelhos,Saúde"
"Sangue e hemoderivados","Saúde"
"Representação judicial e extrajudicial",""
"Minerodutos","Transportes"
"Criação de unidades de conservação","Meio ambiente,Preservação e Conservação Ambiental"
"Órgãos públicos gestores de recursos hídricos","Meio ambiente,Água"
"Áreas de proteção ambiental","Meio ambiente,Preservação e Conservação Ambiental"
"Áreas susceptíveis à desertificação","Meio ambiente"
"Infraestrutura de transporte ferroviário","Transportes,Transporte Ferroviário"
"Direitos humanos",""
"Conservação de energia","Meio ambiente"
"Qualidade ambiental","Meio ambiente"
"Instituições fiéis depositárias","Biodiversidade,Meio ambiente"
"Termo de transferência de material (TTM)","Biodiversidade,Meio ambiente"
"Adubação e correção","Agropecuária"
"Detecção da exploração florestal (DETEX)","Meio ambiente"
"Indústria madeireira e movelaria","Propriedade Industrial,Indústria"
"Calendário de vacinação do adulto","Combate a epidemias,Saúde"
"Projeto básico ambiental","Meio ambiente"
"Estrutura vegetal","Agropecuária"
"Meios de acesso","Pesquisa e Desenvolvimento"
"Criação de florestas nacionais, estaduais e municipais","Meio ambiente"
"Agrotóxicos","Biodiversidade,Meio ambiente"
"Abastecimento de água","Meio ambiente,Água"
"Hospedagem","Comércio e Serviços,Turismo"
"Carcinocultura","Biodiversidade,Meio ambiente"
"Agroindústria","Biodiversidade,Propriedade Industrial,Meio ambiente,Indústria"
"Produtora de obra audiovisual","Cultura"
"Estagio","Recursos humanos,Administração"
"Banco de sangue","Saúde"
"Riscos associados a novas tecnologias","Biodiversidade,Meio ambiente"
"Animação","Cultura"
"Fruticultura","Agropecuária"
"Caprinocultura","Agropecuária"
"Entidades de assistência","Proteção Social"
"Indústria cerâmica","Propriedade Industrial,Indústria"
"Eventos críticos (secas e enchentes)","Meio ambiente,Água"
"Resíduos hospitalares","Meio ambiente"
"Compensação de reserva legal","Meio ambiente"
"Gestão da educação em saúde","Saúde"
"Regime de quarentena","Administração"
"Política agrícola","Agropecuária"
"Conversão de multas de sanções administrativas","Meio ambiente"
"Acidentes com produtos químicos perigosos","Meio ambiente"
"Emergências e Urgências","Saúde"
"Inseminação artificial","Agropecuária"
"Substâncias químicas","Meio ambiente"
"Convenção das nações unidas de combate à desertificação","Meio ambiente"
"Representações brasileira no exterior","Relações Internacionais"
"Transplantes de órgãos e tecidos","Saúde"
"Qualidade de água","Meio ambiente,Água"
"Livro didático","Educação"
"Resíduos florestais","Meio ambiente"
"Concessão de transporte ferroviário","Transportes,Transporte Ferroviário"
"Indústria automobilística","Propriedade Industrial,Indústria"
"Indicadores e estatísticas em comércio e serviços","Comércio e Serviços"
"Combustível","Produção agropecuária,Agropecuária"
"Pantanal","Biodiversidade,Meio ambiente"
"Cartão nacional de saúde","Saúde"
"Título de eleitor",""
"Profissões e ocupações","Trabalho"
"Prevenção de acidentes de trânsito","Transportes"
"Contracheque","Recursos humanos,Administração"
"Zoneamento agro-ecológico","Meio ambiente"
"Achados e perdidos",""
"Agência de água","Meio ambiente,Água"
"Protocolo de Quioto","Meio ambiente"
"Ciência e Tecnologia","Pesquisa e Desenvolvimento"
"Paraíba do Sul","Meio ambiente,Água"
"Ecomercados e negócios sustentáveis","Meio ambiente"
"Política","Administração"
"Beneficio previdenciários","Previdência Social"
"Variedades de sementes e mudas","Agropecuária"
"Combate à pirataria","Cultura"
"Extrativismo","Biodiversidade,Produção agropecuária,Meio ambiente,Agropecuária"
"Peixe marinho","Agropecuária"
"Atendimento ao cidadão","Administração,Serviços Públicos"
"Educação superior","Educação,Educação superior"
"Certidões",""
"Conselho nacional de recursos hídricos","Meio ambiente,Água"
"Procedimento administrativo disciplinar","Administração"
"Unidade básica de saúde","Saúde,Assistência Hospitalar e Ambulatorial"
"Certificação de produto de telecomunicações","Comunicações"
"Resíduos da construção civil e demolição","Meio ambiente"
"Transporte","Abastecimento,Agropecuária"
"Parâmetros e diretrizes curriculares nacionais","Educação"
"CPF",""
"Área de relevante interesse ecológico","Meio ambiente,Preservação e Conservação Ambiental"
"Curso normal superior","Educação,Educação superior"
"Exploração de florestas e formações sucessoras","Meio ambiente"
"Reservas extrativistas","Preservação e Conservação Ambiental,Meio ambiente"
"Facultativa","Educação,Educação superior"
"Proteção e defesa do cidadão","Proteção Social,Combate a desigualdade"
"Maciços florestais urbanos","Meio ambiente"
"DST","Saúde"
"Trânsito","Transportes"
"Bombeiro 193","Saúde"
"Indicadores","Fiscalização do Estado,Administração"
"Direito autoral","Cultura"
"Legislação estadual",""
"Educação ambiental","Educação,Meio ambiente"
"Educação profissional e tecnológica","Educação,Educação profissionalizante"
"Cooperativa agrícola","Agropecuária"
"Sanções administrativas compensatórias","Meio ambiente"
"Ciência, Informação e Comunicação",",Comunicações,Pesquisa e Desenvolvimento"
"Uso sustentável de recursos pesqueiros","Biodiversidade,Meio ambiente"
"Agenda ambiental na administração pública (A3P)","Meio ambiente"
"Energia nuclear","Meio ambiente"
"Parcelamento de multas","Transportes"
"Tratamento e disposição de esgoto","Meio ambiente"
"Terminais privativos","Transportes,Transporte Hidroviário"
"Biologia vegetal","Agropecuária"
"Integração do meio ambiente e produção","Biodiversidade,Meio ambiente"
"Programas de governo - agricultura","Agropecuária"
"Infrações ambientais","Meio ambiente"
"Iluminação pública","Serviços Urbanos,Urbanismo"
"Espécies dependentes de conservação","Biodiversidade,Meio ambiente"
"Ameaças à biodiversidade","Biodiversidade,Meio ambiente"
"Justiça e Legislação",""
"Aleitamento materno","Saúde"
"Conservação da energia","Energia"
"Conselhos e câmaras temáticas de turismo","Comércio e Serviços,Turismo"
"Saúde do indígena","Saúde"
"Saúde do adolescente e do jovem","Saúde"
"Mangue","Biodiversidade,Meio ambiente"
"Comunidade e sociedade","Proteção Social"
"Tributo","Economia e Finanças"
"Cadeias",""
"Matriz energética ambientalmente adequada","Meio ambiente"
"Hidrovias interiores","Transportes,Transporte Hidroviário"
"Custos de medicamentos","Medicamentos e aparelhos,Saúde"
"Legislação federal",""
"Segurança hídrica","Meio ambiente,Água"
"Imóveis","Urbanismo"
"Aviação agrícola","Produção agropecuária,Agropecuária"
"Móvel especial de radiochamada","Comunicações"
"Formação de recursos humanos em segurança publica","Segurança e Ordem Pública"
"Assistência social ao preso e a família",""
"Contaminação de alimentos","Agropecuária"
"Atividade sucroalcooleira","Biodiversidade,Meio ambiente"
"Florestas nacionais","Meio ambiente,Preservação e Conservação Ambiental"
"Crédito agrícola","Agropecuária"
"Profissionais da educação","Educação"
"Cartão transporte","Serviços Urbanos,Urbanismo"
"Exploração ilegal de madeira","Meio ambiente"
"Poder familiar",""
"Áreas protegidas","Meio ambiente,Preservação e Conservação Ambiental"
"Insumos agrícolas","Agropecuária"
"Saúde da família","Saúde"
"Plantio e recomposição florestal","Meio ambiente"
"Planejamento estratégico","Administração,Planejamento"
"Biodiversidade","Biodiversidade,Meio ambiente"
"Capacitação para a implementação de atividades florestais","Meio ambiente"
"Política cultural","Cultura"
"Certificado Internacional de Vacinação e Profilaxia (CIVP)","Comércio e Serviços,Saúde,Turismo"
"Economia pesqueira","Agropecuária"
"Coletivos educadores","Meio ambiente"
"Uso sustentável das unidades de conservação","Meio ambiente,Preservação e Conservação Ambiental"
"Banco de dados","Pesquisa e Desenvolvimento"
"Centro de documentação","Comunicações"
"Valoração econômica dos recursos naturais","Meio ambiente"
"Pesca","Agropecuária"
"Potencial construtivo","Urbanismo"
"Convenção sobre diversidade biológica (CDB)","Biodiversidade,Meio ambiente"
"Privacidade da informação","Comunicações"
"Reserva particular do patrimônio natural","Meio ambiente,Preservação e Conservação Ambiental"
"Transporte internacional","Transportes"
"Saúde do viajante","Saúde"
"Ministério público","Administração"
"Carteira de identificação do estrangeiro","Relações Internacionais"
"Cidadania ambiental","Meio ambiente"
"Jogos e loterias","Lazer,Esporte e Lazer"
"Reuso e reaproveitamento de água","Meio ambiente,Água"
"Música","Cultura"
"Informações sociais","Trabalho"
"Ecoturismo","Comércio e Serviços,Preservação e Conservação Ambiental,Meio ambiente,Biodiversidade,Turismo"
"Execução orçamentária e financeira","Administração,Planejamento"
"Móvel marítimo","Comunicações"
"Patrimônio histórico, artístico e arqueológico","Cultura"
"Escultura","Cultura"
"Defesa Vegetal","Agropecuária"
"Transgênicos","Biodiversidade,Meio ambiente"
"Educação básica","Educação,Educação básica"
"Refinanciamento da divida interna","Economia e Finanças"
"Materiais perigosos","Meio ambiente"
"Arranjos produtivos locais (APL)","Biodiversidade,Meio ambiente"
"Fiscalização do estado","Fiscalização do Estado,Administração"
"Registro de nascimento",""
"Trabalho social voluntário","Proteção Social"
"Perda de habitats","Biodiversidade,Meio ambiente"
"Direitos e deveres individuais",""
"Aposentadoria especial","Previdência Social"
"Caracterização técnico-econômica de cadeias produtivas sustentáveis","Biodiversidade,Meio ambiente"
"Lixo tóxico","Meio ambiente,Preservação e Conservação Ambiental"
"Rodoviárias","Comércio e Serviços,Turismo"
"Apoio escolar","Educação"
"Sistemas de certificação e rastreabilidade socioambiental","Biodiversidade,Meio ambiente"
"Florestas naturais","Meio ambiente"
"Aterro sanitário","Meio ambiente,Preservação e Conservação Ambiental"
"Conservação de espécies ameçadas de extinção","Biodiversidade,Meio ambiente"
"Moedas e cambio","Economia e Finanças"
"Geração de renda nas unidades de conservação","Preservação e Conservação Ambiental,Meio ambiente"
"Veterinária","Agropecuária"
"Radares","Transportes"
"Governo móvel","Administração,Serviços Públicos"
"Esporte de rendimento","Esporte e Lazer"
"Denúncia","Proteção Social,Combate a desigualdade"
"Pesquisa científica de patrimônio genético","Biodiversidade,Meio ambiente"
"Recreação","Lazer,Esporte e Lazer"
"Segurança pública","Segurança e Ordem Pública"
"Projetos de assentamento florestal","Meio ambiente"
"Drenagem pluvial","Saneamento Básico Urbano,Saneamento,Meio ambiente"
"Tecnologia educacional","Educação"
"Roteiros e atrações turísticas","Comércio e Serviços,Turismo"
"Manejo e conservação","Agropecuária"
"Assentamentos rurais","Agropecuária"
"Comércio e Serviços","Comércio e Serviços"
"Saúde ocular","Saúde"
"Qualificação e aprendizagem profissional","Trabalho"
"Indicadores ambientais","Meio ambiente"
"Instrumentos de planejamento e gestão ambiental","Meio ambiente"
"Agroestrativismo","Meio ambiente"
"Infraestrutura de turismo","Comércio e Serviços,Turismo"
"Demanda de água","Meio ambiente,Água"
"Serviço militar","Defesa Nacional"
"Invasões biológicas","Biodiversidade,Meio ambiente"
"Móvel aeronáutico","Comunicações"
"Infraestrutura material e ambiental","Educação"
"Bioprospecção","Biodiversidade,Meio ambiente"
"Sistema judicial",""
"Aposentadoria por invalidez","Previdência Social"
"Resoluções","Educação"
"Informações sobre o país","Comércio e Serviços,Turismo"
"Salário maternidade","Previdência Social"
"Feiras iivres","Serviços Urbanos,Urbanismo"
"Fomento à geração do conhecimento","Meio ambiente"
"Classificação da informação","Comunicações"
"Saneamento urbano","Saneamento Básico Urbano,Saneamento"
"Estatuto do índio",""
"Indústria couro-calçadista","Propriedade Industrial,Indústria"
"Móvel especializado","Comunicações"
"Penas alternativas",""
"Regiões com balanço deficitário de recursos hídricos","Meio ambiente,Água"
"Polícia rodoviária","Segurança e Ordem Pública"
"Turismo temático","Comércio e Serviços,Turismo"
"Bolsa de estudos pós-graduação","Educação,Educação superior"
"Reconhecimento de cursos","Educação,Educação superior"
"Sobrepesca","Biodiversidade,Meio ambiente"
"Licenciatura","Educação,Educação superior"
"Entidades ambientalistas","Meio ambiente"
"Beneficio assistencial ao idoso e ao deficiente","Previdência Social"
"Identificação taxonômica de patrimônio genético","Biodiversidade,Meio ambiente"
"Aterros sanitários","Meio ambiente"
"Crédito e financiamento de exportação","Comércio e Serviços"
"Valoração dos serviços ambientais prestados pelas florestas e demais formas de vegetação nativa","Meio ambiente"
"Projetos de lei",""
"Representações estrangeira no Brasil","Relações Internacionais"
"Assistência jurídica gratuita",",Proteção Social,Combate a desigualdade"
"Jurisprudência",""
"Monumentos naturais","Meio ambiente,Preservação e Conservação Ambiental"
"Saúde e seguro","Comércio e Serviços,Turismo"
"Saúde da população negra","Saúde"
"Coleções nacionais de referência","Biodiversidade,Meio ambiente"
"Software livre","Pesquisa e Desenvolvimento"
"Estatuto da criança e do adolescente",""
"Cadeias produtivas de base florestal","Meio ambiente"
"Transporte do trabalhador","Trabalho"
"Política de incentivo de comércio e serviços","Comércio e Serviços"
"Desenho","Cultura"
"Agronegócio","Biodiversidade,Meio ambiente,Agropecuária"
"Agricultura de subsistência","Agropecuária"
"Justiça",""
"Imigrantes","Cultura"
"Comércio eletrônico","Comércio e Serviços"
"Coleções","Biodiversidade,Meio ambiente"
"Sistemas agroflorestais em bases sustentáveis","Meio ambiente"
"Instituições federais de ensino superior","Educação,Educação superior"
"Direitos de acesso às florestas públicas e aos benefícios decorrentes","Meio ambiente"
"Complementação de estudos","Educação,Educação superior"
"Recuperação de áreas degradadas","Biodiversidade,Meio ambiente"
"Agricultura, extrativismo e pesca","Agropecuária"
"Centro de triagem",""
"Entidade representativa de classe","Trabalho"
"Habitats naturais","Biodiversidade,Meio ambiente"
"Transporte de patrimônio genético","Biodiversidade,Meio ambiente"
"Avaliação de impactos ambientais","Meio ambiente"
"Floresta amazônica","Biodiversidade,Meio ambiente"
"Validade diploma educação superior","Educação,Educação superior"
"Cultura","Cultura"
"Sistema de saúde suplementar","Saúde"
"Saúde mental","Saúde"
"Recursos humanos","Recursos humanos,Administração"
"Indústria de equipamentos médico-hospitalares","Propriedade Industrial,Indústria"
"Áreas degradadas","Meio ambiente"
"Refúgio da vida silvestre","Meio ambiente,Preservação e Conservação Ambiental"
"Latu sensu","Educação,Educação superior"
"Bubalinocultura","Agropecuária"
"Urbanismo","Urbanismo"
"Segurança Nacional","Defesa Nacional"
"Produtos florestais madeireiros","Meio ambiente"
"Espécies vulneráveis","Biodiversidade,Meio ambiente"
"Corredores ecológicos","Meio ambiente,Preservação e Conservação Ambiental"
"Seguro habitacional","Habitação"
"Poluentes atmosféricos","Meio ambiente"
"Zonas úmidas","Biodiversidade,Meio ambiente"
"Regime semi-aberto",""
"Identificação criminal","Segurança e Ordem Pública"
"Composição de alimentos","Agropecuária"
"SAMU 192","Saúde"
"Uso eficiente e racional das florestas","Meio ambiente"
"Reservas de desenvolvimento sustentável","Preservação e Conservação Ambiental,Meio ambiente"
"Carvão mineral","Meio ambiente"
"Corpo de bombeiros","Segurança e Ordem Pública"
"Horticultura","Agropecuária"
"Contrato de trabalho","Trabalho"
"TV via satélite","Comunicações"
"Indústria mecânica e metalúrgica","Propriedade Industrial,Indústria"
"Móvel celular","Comunicações"
"Licenças ambientais","Meio ambiente"
"Gás","Energia,Combustíveis"
"Perícia técnica","Segurança e Ordem Pública"
"Políticas e diretrizes para o SUS","Saúde"
"Paralisia infantil","Saúde"
"Licença de operação","Meio ambiente"
"Turismo de aventura","Comércio e Serviços,Turismo"
"Recursos pesqueiros","Biodiversidade,Meio ambiente"
"Arquivos","Comunicações"
"Mapas georreferenciados","Meio ambiente"
"Ecossistemas terrestres","Biodiversidade,Meio ambiente"
"São Francisco","Água,Meio ambiente"
"Desertificação","Biodiversidade,Meio ambiente"
"Master business administration","Educação,Educação superior"
"Operador de transporte multimodal","Transportes"
"Medicamentos","Medicamentos e aparelhos,Saúde"
"Telefonia","Serviços Urbanos,Urbanismo"
"Entorno das unidades de conservação","Meio ambiente,Preservação e Conservação Ambiental"
"Defesa da ordem jurídica",""
"Fomento","Meio ambiente"
"Tribunais superiores",""
"Sistemas agroflorestais (SAFS)","Biodiversidade,Meio ambiente"
"Conselhos de justiça",""
"Tecnologia industrial","Indústria"
"Transporte internacional de passageiros","Transportes"
"Nanociência","Pesquisa e Desenvolvimento"
"Pesquisa em saúde","Saúde"
"Economia agrícola","Agropecuária"
"Tribunais federais",""
"Recuperação de ativos",""
"Gerenciamento de áreas contaminadas","Meio ambiente"
"Espécies endêmicas","Biodiversidade,Meio ambiente"
"Moto frete","Serviços Urbanos,Urbanismo"
"Sanções cíveis","Meio ambiente"
"Bancos","Economia e Finanças"
"Valoração do patrimônio genético","Biodiversidade,Meio ambiente"
"Feira","Comércio e Serviços"
"Rede laboratorial de sementes","Biodiversidade,Meio ambiente"
"Promoção do processamento local em florestas públicas","Meio ambiente"
"Pensão por morte","Previdência Social"
"Leis de diretrizes e bases da educação nacional","Educação"
"Proteção ao trabalhador","Trabalho"
"Previsão de safra","Agropecuária"
"Minimização dos efeitos de secas e inundações","Meio ambiente"
"Tecnologia de segurança de dados e informação","Pesquisa e Desenvolvimento"
"Habitação","Habitação"
"Agroextrativismo","Biodiversidade,Meio ambiente"
"Plantio direto","Agropecuária"
"Taxa","Economia e Finanças"
"Cadastro de coleções de espécies","Biodiversidade,Meio ambiente"
"Recursos hídricos transfronteiriços","Meio ambiente,Água"
"Sistema nacional de informação sobre o meio ambiente - SINIMA","Meio ambiente"
"Gestão de áreas protegidas","Meio ambiente,Preservação e Conservação Ambiental"
"Distúrbios de animais","Agropecuária"
"Trabalho","Trabalho"
"Pesquisa científica e tecnologia","Pesquisa e Desenvolvimento"
"Direito dos usuários dos serviços de saúde","Saúde"
"Administração pública","Administração"
"Indígena","Cultura"
"Área de preservação permanente (APP)","Meio ambiente,Preservação e Conservação Ambiental"
"Economia","Economia e Finanças"
"Biocombustível","Biodiversidade,Energia,Combustíveis,Meio ambiente"
"Carteira de estudante",""
"Ciência e tecnologia em saúde","Saúde"
"Licenciamento ambiental","Meio ambiente"
"Produto vegetal","Agropecuária"
"Fiscalização de transporte rodoviário","Transportes,Transporte Rodoviário"
"Carcinicultura","Agropecuária"
"Pele","Produção agropecuária,Agropecuária"
"Acesso ao patrimônio genético","Biodiversidade,Meio ambiente"
"Minorias","Proteção Social"
"Goma","Produção agropecuária,Agropecuária"
"Especialização","Educação,Educação superior"
"Desenvolvimento agrícola","Agropecuária"
"Atlântico sudeste","Meio ambiente,Água"
"Tecnologia em saúde","Saúde"
"Regulamentação industrial","Indústria"
"Sindicato",""
"Hospitais universitários","Educação,Educação superior"
"Violência urbana","Saúde"
"Cadeias produtivas sustentáveis","Biodiversidade,Meio ambiente"
"Efeito estufa","Meio ambiente"
"Desenvolvimento tecnológico","Pesquisa e Desenvolvimento"
"Recursos genéticos naturais sujeitos a restrições legais","Biodiversidade,Meio ambiente"
"Economia e meio ambiente","Meio ambiente"
"Plantio","Agropecuária"
"Importação de serviços","Comércio e Serviços"
"Desmatamento ilegal","Meio ambiente"
"Manejo florestal sustentável","Meio ambiente"
"Proteção dos ecossistemas","Meio ambiente"
"Projeto curricular","Educação"
"Anistia política",""
"Saúde da mulher","Saúde"
"Eventos e negócios","Comércio e Serviços,Turismo"
"Reserva legal","Meio ambiente,Preservação e Conservação Ambiental"
"Web TV","Comunicações"
"Cadastro nacional de estabelecimento de saúde","Saúde"
"Família",""
"Centrais de atendimento","Comunicações"
"Monitoramento da cobertura vegetal","Meio ambiente"
"Tratos culturais","Agropecuária"
"Encargos financeiros especiais","Economia e Finanças"
"Recursos hídricos na indústria","Meio ambiente,Água"
"Transporte aquaviário de passageiros","Transportes,Transporte Hidroviário"
"Crimes ambientais","Meio ambiente"
"Auxilio sociais","Proteção Social"
"Transporte multimodal","Transportes"
"Imposto","Economia e Finanças"
"Imprensa","Comunicações"
"Segurança alimentar e nutricional","Saúde"
"Ambientes ocupados pelo homem","Meio ambiente,Preservação e Conservação Ambiental"
"Silvicultura em espécies nativas","Meio ambiente"
"Vetores","Biodiversidade,Meio ambiente"
"Registro de emissão e transferências de poluentes","Meio ambiente"
"Relações bilaterais","Relações Internacionais"
"Uso e ocupação das florestas","Meio ambiente"
"Comércio","Comércio e Serviços"
"Biossegurança","Biodiversidade,Meio ambiente"
"Organização da sociedade civil de interesse publico",""
"Gravura","Cultura"
"Concessão de uso florestas públicas","Meio ambiente"
"Fiscalização de transporte ferroviário","Transportes,Transporte Ferroviário"
"Nanomaterial","Pesquisa e Desenvolvimento"
"Conferências",""
"Saúde reprodutiva","Saúde"
"Pesquisa comportamental no transporte coletivo","Serviços Urbanos,Urbanismo"
"Auxilio a pesquisa","Educação,Educação superior"
"Ecossistemas costeiros","Biodiversidade,Meio ambiente"
"Meios de ensino-aprendizagem","Educação"
"Produção florestal sustentável","Meio ambiente"
"Colegiados","Meio ambiente"
"Procedimentos para publicidade ao ar livre","Urbanismo"
"Empresas","Comércio e Serviços"
"Naturalização","Relações Internacionais"
"Refinanciamento da divida externa","Economia e Finanças"
"Água","Serviços Urbanos,Urbanismo"
"Convenção sobre mudança do clima","Meio ambiente"
"Publicidade ao ar livre","Urbanismo"
"Portos","Transportes,Comércio e Serviços,Transporte Hidroviário,Turismo"
"Previdência complementar","Previdência Social,Previdência Complementar"
"Avaliação ambiental estratégica","Meio ambiente"
"Energia não renováveis","Meio ambiente"
"Cavidades","Biodiversidade,Meio ambiente"
"Banco de germoplasma","Biodiversidade,Meio ambiente"
"Xilotecas","Biodiversidade,Meio ambiente"
"Madeira","Produção agropecuária,Agropecuária"
"Vacinação do viajante","Comércio e Serviços,Saúde,Turismo"
"Acidentes de trânsito","Transportes"
"Reciclagem","Meio ambiente"
"Fomento ao desenvolvimento sustentável","Meio ambiente"
"Segurança no trabalho","Trabalho"
"Incentivos fiscais, tributários e creditícios","Meio ambiente"
"Gerenciamento do passivo das substâncias destruidoras da camada de ozônio","Meio ambiente"
"Serviços Urbanos","Serviços Urbanos,Urbanismo"
"Certificação de sementes","Agropecuária"
"Produtor de obra audiovisual","Cultura"
"TV a Cabo","Comunicações"
"Áreas embargadas pelo IBAMA","Meio ambiente"
"Modernização dos órgãos de justiça e estabelecimentos penais",""
"Turismo","Comércio e Serviços,Turismo"
"Exportação de serviços","Comércio e Serviços"
"Pessoa, família e sociedade",""
"Álcool","Energia,Combustíveis"
"Carpotecas","Biodiversidade,Meio ambiente"
"Infraestrutura de transporte rodoviário","Transportes,Transporte Rodoviário"
"Metrô","Serviços Urbanos,Urbanismo"
"Parques e jardins","Lazer,Esporte e Lazer"
"Destinação de florestas públicas às comunidades locais","Meio ambiente"
"Clima","Comércio e Serviços,Turismo"
"Proteção integral","Meio ambiente,Preservação e Conservação Ambiental"
"Associação agrícola","Agropecuária"
"Telefonia fixa","Comunicações"
"Humanização na saúde","Saúde"
"Tecnologia espacial","Pesquisa e Desenvolvimento"
"Espécies ameaçadas de extinção","Biodiversidade,Meio ambiente"
"Prevenção e controle do meio ambiente","Meio ambiente"
"Erva daninha","Agropecuária"
"Primeiro ciclo","Educação,Educação básica"
"Fundação",""
"Análise de risco - área vegetal","Agropecuária"
"Planejamento familiar",""
"Posto de saúde","Saúde,Assistência Hospitalar e Ambulatorial"
"Espécies de valor econômico atual ou potencial","Biodiversidade,Meio ambiente"
"Auditoria em saúde","Saúde"
"Compras públicas sustentáveis","Meio ambiente"
"Quantidade de água","Meio ambiente,Água"
"Produto animal","Agropecuária"
"Agência de fomento a pós-graduação","Educação,Educação superior"
"Transporte rodoviário de passageiros","Transportes,Transporte Rodoviário"
"Veículos de comunicação","Comunicações"
"Lazer","Lazer,Esporte e Lazer"
"Alistamento militar",""
"Sanções","Meio ambiente"
"Prestação de contas","Fiscalização do Estado,Administração"
"Autorizações para uso de patrimônio genético","Biodiversidade,Meio ambiente"
"Modernização e aparelhamento dos órgãos de segurança pública","Segurança e Ordem Pública"
"Telecomunicações","Comunicações"
"Transporte rodoviário","Transportes,Transporte Rodoviário"
"Redes de comunicação","Pesquisa e Desenvolvimento"
"Campanha férias sustentáveis","Biodiversidade,Meio ambiente"
"Coleta seletiva","Meio ambiente,Preservação e Conservação Ambiental"
"Preservação de bosques e imóveis","Urbanismo"
"Biopirataria","Biodiversidade,Meio ambiente"
"Negociação internacional","Comércio e Serviços"
"Atlântico nordeste oriental","Meio ambiente,Água"
"Unidades de saúde","Saúde,Assistência Hospitalar e Ambulatorial"
"Preservação de alimentos","Agropecuária"
"Restaurantes","Comércio e Serviços,Turismo"
"Concessões","Serviços Urbanos,Urbanismo"
"Medicamentos fracionados","Medicamentos e aparelhos,Saúde"
"Aplicação dos recursos","Meio ambiente"
"Avaliação da qualidade ambiental","Meio ambiente"
"Solos","Agropecuária"
"Qualidade dos medicamento","Medicamentos e aparelhos,Saúde"
"Ilhas, parceis e atóis","Biodiversidade,Meio ambiente"
"Policlínica","Saúde,Assistência Hospitalar e Ambulatorial"
"Primeiros socorros","Saúde"
"Valorização dos resíduos sólidos","Meio ambiente"
"Equipamentos médico-hospitalares","Saúde"
"Educação indígena","Educação"
"Gestão da água","Saneamento Básico Urbano,Saneamento"
"Sericicultura","Agropecuária"
"Preparo de solo","Agropecuária"
"Empreendimentos hidrelétricos","Meio ambiente"
"Gestão florestal compartilhada","Meio ambiente"
"Atividades de turismo","Meio ambiente"
"Ética de profissionais de saúde","Saúde"
"Estatísticas de trânsito","Transportes"
"Reposição florestal","Biodiversidade,Meio ambiente"
"Entidades de interesse publico",""
"Reservas biológicas","Meio ambiente,Preservação e Conservação Ambiental"
"Organização política","Administração"
"Preservação de dados e informações","Comunicações"
"Obesidade","Saúde"
"Atmosfera","Meio ambiente"
"Fomento à produção sustentável","Meio ambiente"
"Empreendimentos potencialmente causadores de impacto ambiental","Meio ambiente"
"Instrumentos para gestão de recursos hídricos","Meio ambiente,Água"
"Sistemas de informação","Pesquisa e Desenvolvimento"
"Tecnólogo","Educação,Educação superior"
"Comunicação móvel","Comunicações"
"Artes visuais","Cultura"
"Mestrado","Educação,Educação superior"
"Patrimônio da união","Administração,Patrimônio"
"Feriados","Comércio e Serviços,Turismo"
"Regime político","Administração"
"Ensino fundamental de 9 anos","Educação,Educação básica"
"Brasil Sorridente","Saúde"
"Comércio exterior","Comércio e Serviços"
"Atlântico nordeste ocidental","Meio ambiente,Água"
"Alimentação do trabalhador","Trabalho"
"Cemitérios","Meio ambiente"
"Sistema nacional de gerenciamento de recursos hídricos","Meio ambiente,Água"
"Cooperação jurídica internacional","Relações Internacionais"
"Gasodutos","Transportes"
"Sentença judicial",""
"Carteira de trabalho",""
"Sociedade Civil - Organização e participação",""
"Sistema Único de Saúde (SUS)","Saúde"
"Águas","Meio ambiente,Água"
"Sustentabilidade ambiental da atividade turística","Biodiversidade,Meio ambiente"
"Qualidade de cosméticos","Vigilância Sanitária,Saúde"
"Jardins botânicos","Biodiversidade,Meio ambiente"
"Conversão tecnológica","Meio ambiente"
"Fomento a pós-graduação","Educação,Educação superior"
"Inteligência artificial","Pesquisa e Desenvolvimento"
